iter	Passed	Remaining
400	18402	15970
401	18443	15920
402	18486	15871
403	18532	15825
404	18573	15776
405	18620	15731
406	18669	15688
407	18716	15643
408	18757	15593
409	18798	15543
410	18839	15493
411	18883	15446
412	18930	15401
413	18973	15352
414	19016	15304
415	19060	15257
416	19110	15214
417	19151	15165
418	19200	15122
419	19243	15074
420	19287	15027
421	19328	14977
422	19376	14933
423	19423	14888
424	19469	14842
425	19517	14798
426	19556	14747
427	19598	14698
428	19646	14654
429	19698	14613
430	19743	14567
431	19791	14523
432	19836	14476
433	19884	14431
434	19926	14383
435	19966	14333
436	20009	14285
437	20049	14236
438	20091	14187
439	20134	14139
440	20182	14095
441	20225	14047
442	20263	13996
443	20305	13948
444	20346	13899
445	20388	13851
446	20432	13804
447	20482	13761
448	20525	13714
449	20568	13666
450	20613	13620
451	20661	13576
452	20704	13528
453	20747	13481
454	20792	13434
455	20834	13387
456	20874	13337
457	20915	13289
458	20962	13244
459	21006	13197
460	21047	13149
461	21087	13100
462	21132	13053
463	21181	13009
464	21226	12964
465	21268	12916
466	21316	12872
467	21361	12826
468	21411	12782
469	21456	12736
470	21498	12689
471	21540	12641
472	21582	12593
473	21624	12546
474	21669	12499
475	21712	12452
476	21752	12403
477	21801	12360
478	21841	12311
479	21884	12264
480	21924	12215
481	21970	12170
482	22016	12125
483	22067	12082
484	22119	12040
485	22159	11991
486	22206	11947
487	22254	11902
488	22298	11855
489	22341	11809
490	22385	11762
491	22427	11715
492	22468	11667
493	22510	11619
494	22552	11572
495	22595	11525
496	22643	11481
497	22689	11435
498	22731	11388
499	22774	11341
500	22815	11294
501	22866	11250
502	22906	11202
503	22956	11159
504	23000	11112
505	23042	11065
506	23085	11019
507	23128	10972
508	23169	10924
509	23217	10880
510	23258	10832
511	23306	10788
512	23351	10742
513	23400	10698
514	23447	10653
515	23490	10607
516	23529	10558
517	23569	10510
518	23615	10465
519	23663	10421
520	23709	10375
521	23760	10332
522	23808	10288
523	23853	10242
524	23902	10198
525	23947	10152
526	23992	10106
527	24035	10060
528	24087	10017
529	24137	9973
530	24178	9926
531	24224	9880
532	24278	9838
533	24323	9793
534	24366	9746
535	24405	9698
536	24447	9651
537	24486	9603
538	24529	9556
539	24572	9510
540	24617	9464
541	24661	9418
542	24709	9374
543	24757	9329
544	24803	9284
545	24845	9237
546	24889	9191
547	24929	9143
548	24976	9099
549	25026	9054
550	25070	9009
551	25112	8962
552	25157	8916
553	25202	8871
554	25248	8825
555	25292	8779
556	25334	8732
557	25375	8685
558	25421	8640
559	25465	8594
560	25506	8547
561	25544	8499
562	25587	8453
563	25633	8408
564	25677	8362
565	25722	8316
566	25765	8270
567	25805	8223
568	25848	8176
569	25893	8131
570	25934	8084
571	25976	8038
572	26025	7993
573	26071	7948
574	26114	7902
575	26159	7856
576	26206	7811
577	26247	7765
578	26290	7719
579	26334	7673
580	26383	7629
581	26430	7584
582	26472	7537
583	26513	7491
584	26553	7443
585	26595	7397
586	26644	7353
587	26690	7308
588	26733	7262
589	26781	7217
590	26828	7172
591	26875	7127
592	26921	7082
593	26966	7036
594	27012	6991
595	27057	6945
596	27100	6899
597	27145	6854
598	27194	6810
599	27234	6763
600	27279	6717
601	27328	6673
602	27367	6626
603	27412	6580
604	27455	6534
605	27499	6489
606	27547	6444
607	27589	6398
608	27643	6354
609	27690	6309
610	27738	6264
611	27783	6219
612	27831	6174
613	27888	6131
614	27930	6085
615	27977	6040
616	28021	5994
617	28068	5949
618	28115	5904
619	28158	5858
620	28206	5813
621	28252	5768
622	28297	5723
623	28342	5677
624	28391	5632
625	28438	5587
626	28492	5543
627	28537	5498
628	28586	5453
629	28634	5408
630	28682	5363
631	28732	5319
632	28777	5273
633	28820	5227
634	28867	5182
635	28912	5137
636	28957	5091
637	29000	5045
638	29041	4999
639	29087	4953
640	29133	4908
641	29174	4862
642	29216	4816
643	29261	4770
644	29303	4724
645	29346	4679
646	29389	4633
647	29437	4588
648	29482	4542
649	29531	4497
650	29574	4452
651	29615	4406
652	29662	4360
653	29710	4315
654	29755	4270
655	29799	4224
656	29843	4178
657	29891	4133
658	29937	4088
659	29977	4042
660	30025	3997
661	30073	3952
662	30121	3907
663	30165	3861
664	30210	3816
665	30253	3770
666	30296	3724
667	30339	3678
668	30382	3633
669	30427	3587
670	30473	3542
671	30517	3496
672	30561	3451
673	30611	3406
674	30659	3361
675	30705	3315
676	30745	3269
677	30785	3223
678	30832	3178
679	30880	3133
680	30923	3087
681	30967	3042
682	31008	2996
683	31047	2950
684	31093	2905
685	31136	2859
686	31183	2814
687	31227	2768
688	31264	2722
689	31306	2676
690	31351	2631
691	31398	2586
692	31450	2541
693	31499	2496
694	31610	2456
695	31661	2410
696	31705	2365
697	31747	2319
698	31793	2274
699	31839	2228
700	31884	2183
701	31924	2137
702	31969	2091
703	32016	2046
704	32060	2000
705	32100	1955
706	32144	1909
707	32198	1864
708	32240	1818
709	32284	1773
710	32330	1727
711	32371	1682
712	32418	1636
713	32467	1591
714	32512	1546
715	32559	1500
716	32608	1455
717	32652	1409
718	32693	1364
719	32737	1318
720	32784	1273
721	32844	1228
722	32891	1182
723	32933	1137
724	32979	1091
725	33023	1046
726	33064	1000
727	33105	954
728	33153	909
729	33199	864
730	33241	818
731	33286	773
732	33333	727
733	33378	682
734	33423	636
735	33468	591
736	33512	545
737	33556	500
738	33605	454
739	33649	409
740	33694	363
741	33736	318
742	33779	272
743	33819	227
744	33859	181
745	33900	136
746	33942	90
747	33984	45
748	34029	0
