iter	Logloss
138	0.579972573
139	0.5798767638
140	0.5797531937
141	0.5796493276
142	0.5795525369
143	0.5794512218
144	0.5793484712
145	0.5792498674
146	0.5791350843
147	0.5790598025
148	0.5789908741
149	0.5789190344
150	0.5788532801
151	0.5787450269
152	0.5786391801
153	0.5785525696
154	0.5784640019
155	0.5783721386
156	0.5782072734
157	0.5781242338
158	0.5780205282
159	0.5779627873
160	0.5778528484
161	0.5777707252
162	0.5776355684
163	0.577554531
164	0.5774647043
165	0.5774057398
166	0.5773166965
167	0.577244738
168	0.5771607693
169	0.5770831788
170	0.5770078398
171	0.5769036383
172	0.5767949862
173	0.57670064
174	0.5766029517
175	0.5765167262
176	0.5763689736
177	0.576279207
178	0.5761492968
179	0.5760276636
180	0.5759175511
181	0.5758249931
182	0.5757363026
183	0.5756698482
184	0.5755952416
185	0.5754524549
186	0.5753379936
187	0.5752223649
188	0.5751128754
189	0.5749875104
190	0.5748559283
191	0.5747674038
192	0.5746572536
193	0.5745480471
194	0.5744258352
195	0.5742861396
196	0.5741766235
197	0.5740790145
198	0.573971567
199	0.5738959567
200	0.5737945995
201	0.5736924307
202	0.5735660525
203	0.5734731614
204	0.5733464864
205	0.5732471905
206	0.5731401419
207	0.5730403834
208	0.5729142069
209	0.5727605065
210	0.572643277
211	0.5725278359
212	0.5723712561
213	0.5722441633
214	0.572142043
215	0.5720576941
216	0.5719529304
217	0.5718352171
218	0.5717520393
219	0.5716539513
220	0.5715384455
221	0.5714637303
222	0.5713581552
223	0.5712650531
224	0.5711441072
225	0.571050561
226	0.5709500903
227	0.5708323887
228	0.5707103841
229	0.5706207221
230	0.5705326754
231	0.5704129522
232	0.5702945404
233	0.5702094351
234	0.5701187115
235	0.5699961693
236	0.5698893886
237	0.5697849976
238	0.5697029919
239	0.5696041907
240	0.569482643
241	0.5693712152
242	0.5692851604
243	0.5691545056
244	0.5690543034
245	0.5689546472
246	0.5688423026
247	0.5687545366
248	0.5686704042
249	0.5685590991
250	0.5684622683
251	0.5683612912
252	0.5682683034
253	0.5681729215
254	0.5680762373
255	0.5679767595
256	0.5678759718
257	0.5677927619
258	0.5676988873
259	0.5676096974
260	0.5675337231
261	0.5674647455
262	0.567352945
263	0.5672747263
264	0.5671819357
265	0.567093302
266	0.5670068103
267	0.566933013
268	0.5668580601
269	0.5667360018
270	0.5666649843
271	0.5665761683
272	0.5664988174
273	0.5663857399
274	0.5662876258
275	0.5661937337
276	0.5660785294
277	0.5659778575
278	0.5658598384
279	0.5657659343
280	0.5656778153
281	0.5655896048
282	0.5654828806
283	0.5653691074
284	0.5652667562
285	0.5651883862
286	0.5651053168
287	0.5650195275
288	0.564922261
289	0.5648135111
290	0.5647165496
291	0.5646161227
292	0.5645203596
293	0.5644330363
294	0.5643537997
295	0.5642793717
296	0.5641489744
297	0.5640419
298	0.5639559536
299	0.5638822457
300	0.5638013287
301	0.5637313304
302	0.56365594
303	0.5635703546
304	0.5634792192
305	0.5633618449
306	0.5632927637
307	0.5632247864
308	0.5631292773
309	0.5630203188
310	0.5629082974
311	0.5628164024
312	0.5627249973
313	0.5626436876
314	0.5625412141
315	0.56245746
316	0.5623928289
317	0.5623032331
318	0.5622125524
319	0.5621275278
320	0.5620495994
321	0.5619822505
322	0.5619045735
323	0.5618232288
324	0.5617578203
325	0.5616573325
326	0.5615760827
327	0.5614826292
328	0.5614223547
329	0.5613390184
330	0.5612563664
331	0.5611828281
332	0.5610929233
333	0.5609959589
334	0.5609011078
335	0.5608255765
336	0.5607610196
337	0.5606833028
338	0.5606138105
339	0.5605282311
340	0.5604540725
341	0.5603756767
342	0.5602920598
343	0.5601835124
344	0.5601059934
345	0.5600137193
346	0.559953956
347	0.5598668397
348	0.5598034324
349	0.5597424698
350	0.5596548339
351	0.55957673
352	0.5595050084
353	0.5594181866
354	0.5593307072
355	0.5592710828
356	0.559194739
357	0.5591108467
358	0.5590403937
359	0.5589531908
360	0.5588717363
361	0.5588045687
362	0.558740907
363	0.5586665868
364	0.5585917069
365	0.5585183247
366	0.558426503
367	0.558343769
368	0.5582592316
369	0.5581916186
370	0.5581103899
371	0.558037106
372	0.5579350996
373	0.5578536915
374	0.5577620789
375	0.5576889543
376	0.5575996075
377	0.5575036736
378	0.5574220741
379	0.5573324973
380	0.5572686738
381	0.5571764881
382	0.5571167771
383	0.557018474
384	0.5569451877
385	0.5568790635
386	0.5567915119
387	0.5567062356
388	0.5566377173
389	0.5565788302
390	0.5565091461
391	0.5564301405
392	0.5563765302
393	0.5562993785
394	0.5562058204
395	0.5561383729
396	0.55605731
397	0.5559877678
398	0.5559099619
399	0.5558440775
400	0.5557637314
401	0.5556843884
402	0.5556050497
403	0.555512174
404	0.5554516235
405	0.5553382812
406	0.555264138
407	0.5551925348
408	0.5551128339
409	0.5550306388
410	0.554980236
411	0.5549017976
412	0.5548218728
413	0.5547513796
414	0.5546744883
415	0.5546149439
416	0.5545507388
417	0.5544946851
418	0.5544159656
419	0.5543264134
420	0.5542518926
421	0.5541748538
422	0.554066996
423	0.5539801811
424	0.5538979039
425	0.5538251624
426	0.5537351847
427	0.5536650823
428	0.5535956531
429	0.553501591
430	0.5534388483
431	0.5533485913
432	0.5532851195
433	0.553195226
434	0.5531168007
435	0.5530415376
436	0.5529620519
437	0.5529014584
438	0.55284018
439	0.5527594655
440	0.5526677724
441	0.5525969931
442	0.5525478714
443	0.5524682697
444	0.5524024028
445	0.5523289313
446	0.5522535029
447	0.5521917284
448	0.5521104028
449	0.5520340234
450	0.5519756008
451	0.5518929068
452	0.5518116354
453	0.5517430638
454	0.5516709279
455	0.55161466
456	0.5515664513
457	0.5515030454
458	0.5514453734
459	0.5513792118
460	0.5513127265
461	0.5512429294
462	0.5511755494
463	0.5510975817
464	0.5510292269
465	0.5509655991
466	0.5508752731
467	0.5508029517
468	0.5507272646
469	0.5506460603
470	0.5505782489
471	0.550487497
472	0.5504121685
473	0.5503273107
474	0.5502492966
475	0.5501827589
476	0.5501237715
477	0.5500458539
478	0.5499629003
479	0.5498783525
480	0.5498271312
481	0.5497586136
482	0.5496846744
483	0.5495998597
484	0.5495244668
485	0.5494640454
486	0.5493863139
487	0.5492998263
488	0.5492445788
489	0.5491785749
490	0.5491104362
491	0.549033285
492	0.5489706039
493	0.5488985813
494	0.5488185821
495	0.5487344355
496	0.5486686381
497	0.5485807742
498	0.548517515
499	0.5484497929
500	0.5483925772
501	0.5483329376
502	0.5482600131
503	0.5481618498
504	0.5480830677
505	0.5479960467
506	0.5479360046
507	0.547867879
508	0.547797901
509	0.5477205038
510	0.5476709407
511	0.5476038889
512	0.5475378977
513	0.5474468472
514	0.5473639644
515	0.5473048976
516	0.5472619639
517	0.547178902
518	0.5471029101
519	0.5470284267
520	0.5469391591
521	0.5468692122
522	0.5467831785
523	0.546729424
524	0.5466527066
525	0.5465834803
526	0.5465179146
527	0.5464606394
528	0.5463826815
529	0.5462982116
530	0.5462336247
531	0.5461691565
532	0.5460866235
533	0.5460235546
534	0.5459498495
535	0.5458861812
536	0.5458242208
537	0.5457678313
538	0.5456848976
539	0.5456108548
540	0.545545437
541	0.5454616496
542	0.5454034099
543	0.545315013
544	0.545239899
545	0.5451932221
546	0.5451164872
547	0.5450658594
548	0.5449661347
549	0.5449015059
550	0.5448452689
551	0.5447812954
552	0.5447056815
553	0.5446330634
554	0.5445794807
555	0.5445240252
556	0.5444404078
557	0.5443632193
558	0.5442929748
559	0.544223863
560	0.5441726964
561	0.5441116206
562	0.5440419044
563	0.543960477
564	0.5438909508
565	0.54381946
566	0.5437562294
567	0.5436871239
568	0.5436048959
569	0.5435493385
570	0.5434660861
571	0.5434066713
572	0.5433312145
573	0.5432708194
574	0.5432020611
575	0.5431281764
576	0.5430452209
577	0.5429855576
578	0.5428935384
579	0.5428196229
580	0.5427423257
581	0.5426685333
582	0.542595735
583	0.5425376257
584	0.5424923544
585	0.5424119194
586	0.5423509769
587	0.5422816816
588	0.5422154693
589	0.5421402704
590	0.5420639786
591	0.5419898284
592	0.5419318204
593	0.5418772217
594	0.5418021451
595	0.5417455654
596	0.5416734259
597	0.5416069857
598	0.5415331029
599	0.5414886528
600	0.5414223885
601	0.541347024
602	0.541282458
603	0.5412283207
604	0.5411676303
605	0.5411025644
606	0.5410341798
607	0.5409705614
608	0.5408999301
609	0.5408259367
610	0.5407583514
611	0.5406803786
612	0.5406197007
613	0.5405398568
614	0.5404673202
615	0.5403930104
616	0.540332802
617	0.5402582512
618	0.5401832082
619	0.5401278153
620	0.5400489174
621	0.5399774418
622	0.5399223712
623	0.5398281005
624	0.5397608525
625	0.5396858539
626	0.5396050148
627	0.5395466214
628	0.5394615495
629	0.5393803235
630	0.5393070922
631	0.5392364717
632	0.5391680352
633	0.5391235252
634	0.5390567296
635	0.5389875377
636	0.5389249848
637	0.5388500888
638	0.5387792387
639	0.5387235351
640	0.5386501689
641	0.5385829199
642	0.5385093062
643	0.5384267486
644	0.5383704059
645	0.5383092184
646	0.5382497222
647	0.5381836957
648	0.5381187995
649	0.5380504308
650	0.537984674
651	0.537920484
652	0.5378410688
653	0.537786908
654	0.5377108202
655	0.5376557274
656	0.5375973002
657	0.5375553347
658	0.5374990292
659	0.5374551737
660	0.5373940425
661	0.53732476
662	0.5372543702
663	0.5371943368
664	0.5371184582
665	0.5370542202
666	0.5369922492
667	0.5369359058
668	0.5368707692
669	0.5368066635
670	0.5367337145
671	0.5366612371
672	0.5366074054
673	0.5365386243
674	0.5364835306
675	0.5364157037
676	0.5363877392
677	0.5363074319
678	0.5362376174
679	0.5361673863
680	0.5360937455
681	0.5360271578
682	0.5359594158
683	0.5359213587
684	0.5358539707
685	0.5357854459
686	0.5357154824
687	0.5356421436
688	0.5355984515
689	0.5355294264
690	0.5354632815
691	0.535396341
692	0.5353131851
693	0.535243395
694	0.5351888106
695	0.5351035354
696	0.5350315073
697	0.5349695527
698	0.5349198937
699	0.5348489401
700	0.5347925169
701	0.534741098
702	0.5346767718
703	0.5346050006
704	0.5345285626
705	0.5344608175
706	0.534380172
707	0.5343263628
708	0.5342635753
709	0.5341893645
710	0.5341252818
711	0.5340685496
712	0.534004114
713	0.533943651
714	0.5338807004
715	0.5338093819
716	0.5337477999
717	0.5336829755
718	0.5336202758
719	0.5335608426
720	0.5334944804
721	0.533415286
722	0.5333400952
723	0.5332821732
724	0.5332188421
725	0.5331462364
726	0.5330854406
727	0.5330403578
728	0.5329726728
729	0.5329081975
730	0.5328329327
731	0.5327621305
732	0.5326997344
733	0.5326281104
734	0.5325451762
735	0.5324764547
736	0.5324191817
737	0.5323526622
738	0.5322909972
739	0.53221797
740	0.5321448362
741	0.5320783088
742	0.5320218181
743	0.5319765808
744	0.5319393126
745	0.5319245519
746	0.5318679513
747	0.5318035411
748	0.5317294295
